ingredient_obo_uri	pt_obo_uri
CHEBI_421707	HP_0002027
CHEBI_16664	HP_0002027
CHEBI_9943	HP_0002027
PR_000050305	HP_0002027
CHEBI_78540	HP_0002027
CHEBI_60652	HP_0002027
CHEBI_3732	HP_0002027
PR_000001369 | PR_000001384	HP_0002027
CHEBI_63612	HP_0002027
PR_000001438	HP_0006510
CHEBI_26710	HP_0003270
CHEBI_135005	HP_0003270
CHEBI_7865	HP_0002027
CHEBI_5100	HP_0002027
CHEBI_7915	HP_0002027
PR_P01877	HP_0002027
CHEBI_5163	HP_0002027
CHEBI_7936	HP_0002027
CHEBI_63635	HP_0002027
CHEBI_6402	HP_0002027
CHEBI_2659	HP_0002027
CHEBI_63628	HP_0002027
CHEBI_7550	HP_0002027
CHEBI_49040	HP_0002027
CHEBI_9139	HP_0002027
CHEBI_7447	HP_0002027
CHEBI_3387	HP_0002027
CHEBI_71028	HP_0002027
CHEBI_4858	HP_0002027
CHEBI_31547	HP_0002027
 CHEBI_7454	HP_0002027
CHEBI_4325	HP_0002027
CHEBI_3419	HP_0002027
CHEBI_7735	HP_0002027
CHEBI_50663	HP_0002027
CHEBI_66901	HP_0002027
CHEBI_3723	HP_0002027
 CHEBI_41774	HP_0002027
CHEBI_6950	HP_0002027
CHEBI_28001	HP_0002027
CHEBI_16684	HP_0002027
CHEBI_681569	HP_0002027
CHEBI_5002	HP_0002027
CHEBI_53289	HP_0002027
CHEBI_17141	HP_0002027
CHEBI_8774	HP_0002027
CHEBI_35854 	HP_0002027
CHEBI_6413	HP_0002027
CHEBI_16347	HP_0002027
CHEBI_17486	HP_0002027
 CHEBI_5118	HP_0002027
CHEBI_5790	HP_0002027
CHEBI_49005	HP_0002027
CHEBI_49886	HP_0002027
 CHEBI_25357	HP_0002027
CHEBI_3286	HP_0002027
CHEBI_9334	HP_0002027
CHEBI_17347	HP_0002027
CHEBI_78291	HP_0002829
CHEBI_3485	HP_0002027
CHEBI_63632	HP_0002027
CHEBI_47898	HP_0002027
CHEBI_59495	HP_0002027
CHEBI_5959	HP_0002027
CHEBI_51860	HP_0002027
CHEBI_4445	HP_0002027
CHEBI_18258	HP_0002027
CHEBI_367163	HP_0002027
CHEBI_2567	HP_0002027
CHEBI_7824	HP_0002027
CHEBI_71025	HP_0002027
CHEBI_10100	HP_0002027
 CHEBI_6933	HP_0002027
CHEBI_3479 	HP_0002027
CHEBI_4798	HP_0002027
CHEBI_4682	HP_0002027
CHEBI_30621	HP_0002027
CHEBI_135922	HP_0002027
CHEBI_28445 	HP_0002027
CHEBI_59560	HP_0002027
 CHEBI_8497 	HP_0002027
CHEBI_27666	HP_0002027
CHEBI_63631	HP_0002027
CHEBI_48390	HP_0002027
 CHEBI_2639	HP_0002027
CHEBI_76004	HP_0002027
 CHEBI_3996	HP_0002027
 CHEBI_8874	HP_0002027
CHEBI_6710 | CHEBI_76230	HP_0002027
 CHEBI_3638	HP_0002027
CHEBI_44032	HP_0002027
CHEBI_61080	HP_0002027
CHEBI_3219	HP_0002027
CHEBI_36704	HP_0002027
CHEBI_2666	HP_0002027
CHEBI_71272	HP_0002027
CHEBI_10119	HP_0002027
CHEBI_47781	HP_0002027
 CHEBI_45783	HP_0002027
CHEBI_2675	HP_0002027
CHEBI_8768	HP_0002027
CHEBI_64198	HP_0002027
CHEBI_3499	HP_0002027
CHEBI_63622	HP_0002027
CHEBI_7772	HP_0002027
CHEBI_60311	HP_0002027
CHEBI_3207	HP_0002027
CHEBI_90908	HP_0002027
CHEBI_4784	HP_0002027
CHEBI_17252	HP_0003418
 CHEBI_142290	HP_0002027
CHEBI_4681	HP_0002027
CHEBI_52717	HP_0002027
CHEBI_31941	HP_0002027
CHEBI_82960	HP_0002027
PR_000001581	HP_0002027
CHEBI_28787	HP_0002027
CHEBI_64356	HP_0002027
CHEBI_6722	HP_0002027
 CHEBI_2676	HP_0002027
CHEBI_3478	HP_0002027
CHEBI_64355	HP_0002027
CHEBI_87681	HP_0002027
CHEBI_9014	HP_0002027
 CHEBI_3395	HP_0002027
CHEBI_75045	HP_0002027
CHEBI_45863	HP_0002027
 CHEBI_7856	HP_0002027
 CHEBI_36234	HP_0002027
CHEBI_4974	HP_0002027
CHEBI_142406	HP_0002027
 CHEBI_102216	HP_0002027
 CHEBI_2904 	HP_0002027
CHEBI_63577	HP_0002027
CHEBI_63452	HP_0002027
CHEBI_2955	HP_0002027
 CHEBI_37924	HP_0002027
