drug_obo_id	ind_obo_id
CHEBI_9449	MONDO_0004979
CHEBI_9449	MONDO_0006733
CHEBI_9453	MONDO_0005709
CHEBI_72564	MONDO_0002501
CHEBI_575568	MONDO_0005920
CHEBI_9437	MONDO_0005586|MONDO_0017371
CHEBI_32192	MONDO_0005578
CHEBI_46345	MONDO_0000956
CHEBI_27902	MONDO_0001080
CHEBI_27902	MONDO_0001125
CHEBI_27902	MONDO_0005631
CHEBI_27902	MONDO_0005119
CHEBI_27902	MONDO_0004264
CHEBI_2659	MONDO_0004979
CHEBI_28177	MONDO_0004979
CHEBI_45979	MONDO_0005654
CHEBI_59560	MONDO_0019259
CHEBI_9570	MONDO_0001187
CHEBI_38010	MONDO_0008383
CHEBI_32221	MONDO_0008383
CHEBI_9587	MONDO_0004652
CHEBI_9587	MONDO_0020920
CHEBI_58448	MONDO_0007699
CHEBI_2948	MONDO_0008383
CHEBI_90960	MONDO_0004979
CHEBI_2946	MONDO_0005709
CHEBI_2948	MONDO_0005101|MONDO_0009960
CHEBI_28864	MONDO_0020920
CHEBI_28864	MONDO_0002307
CHEBI_28864	MONDO_0006651
CHEBI_28864	MONDO_0004768
CHEBI_2948	MONDO_0008219
CHEBI_2948	MONDO_0007191
CHEBI_63631	MONDO_0005754
CHEBI_71941	MONDO_0008383
CHEBI_134870	MONDO_0002050
CHEBI_77572	MONDO_0004979
CHEBI_9667	MONDO_0004979
CHEBI_9667	MONDO_0007179
CHEBI_9667	MONDO_0008383
CHEBI_9667	MONDO_0015129
CHEBI_9667	MONDO_0005848
CHEBI_9667	MONDO_0015253
CHEBI_9667	MONDO_0011849
CHEBI_9667	MONDO_0001198
CHEBI_9667	MONDO_0009691
CHEBI_9667	MONDO_0000004
CHEBI_9667	MONDO_0040698
CHEBI_9667	HP_0002181
CHEBI_9667	MONDO_0020108
CHEBI_9667	MONDO_0018479
CHEBI_9667	MONDO_0005340
CHEBI_32260	MONDO_0006640|MONDO_0018912
CHEBI_45924	MONDO_0002307
CHEBI_2955	MONDO_0004652
CHEBI_9738	MONDO_0002050
CHEBI_2955	MONDO_0001080
CHEBI_84116	MONDO_0005709
CHEBI_2955	MONDO_0004785
CHEBI_93856	MONDO_0004979
CHEBI_9884	MONDO_0011996
CHEBI_9763	MONDO_0001080
CHEBI_161680	MONDO_0020920
CHEBI_9763	MONDO_0040732
CHEBI_161680	MONDO_0040732
CHEBI_9763	MONDO_0004264
CHEBI_184381	MONDO_0002307
CHEBI_35854	MONDO_0005700
CHEBI_9937	MONDO_0010602
